name,fkManagingOrganizationId,description,fkTypeId,availableToId,feeInfo,servicesProvided,onlineOrderingUrl,expiration,pocInfo,minOrderQty
AbilityOne,1,The AbilityOne Program is a Federal initiative to help people who are blind or have other significant disabilities find employment by working within a national network of over 600 Nonprofit Agencies that sell products and services to the U.S. government. The Committee for Purchase From People Who Are Blind or Severely Disabled is the Federal agency authorized to administer the AbilityOne Program.,16,5,Varies (embedded in catalog price),"Products Offered:
Aircraft, Vehicular and Electrical Equipment and Supplies
Clothing, Textiles and Individual Equipment
Food Processing, Packaging and Distribution
Office Supplies and Furnishings
Services Offered:
Administrative
Contact Centers
Contract Management Support (CMS) Services
Custodial
Document Management
Fleet Management
Food Services
Grounds Maintenance
Healthcare Environmental
Laundry
Secure Document Destruction
Secure Mail/Digital Document
Supply Chain Management and Warehouse
Total Facilities Management",https://www.abilityone.com/OA_HTML/xxnib_ibeCCtpSctDspRte.jsp?section=11703&sitex=10040:22372:US&NIBPROD=MWNoOkBJvWonWZjCyAUbrsTSwJ&NIBPROD_pses=ZG9F6A98EC56DD747701106A0D582C080E50DD7B8B0C230D231DC26AA9FB428A5526EC56ECCB53F3C7FA0DED57087515CAF44799F5524C3038,Varies,"customerservice@abilityone.org
(800) 999-5963",Varies
Adobe BPA,2,,7,33,None,"This vehicle provides pre-negotiated, discounted pricing for the full suite of Adobe software and maintenance and enables Components to access ancillary training and consulting services.",N/A,7/1/2018,Jaclyn.Smyth@hq.dhs.gov,
Air Force Tool and Parts Program (AFTAPP),3,"Air Force Tools and Parts Program (AFTAPP) Five (5) pre-competed BPAs awarded by the Air Force Civil Engineering Commodity Council for use in supplying Maintenance, Repair, and Operations (MRO) tools and parts for the DoD community. Products have no minimum purchase/delivery limit and may be micropurchased via the GPC or quotes sought using eBuy RFQs. ",7,5,Varies (embedded in catalog price),"Products available on GSA Schedules 51V and 56, such as Hardware, Hand Tools, Electrical Supplies, HVAC Parts and Filters, Adhesives and Sealants, Containers and Storage, Rope, Chain, Cable, and Wire, Grinding and Polishing Materials, Industrial Pumps, Compressors, Gaskets and Seals, Plumbing Fixtures, Workshop Supplies, Fluid and Gas Distribution, Industrial Filtering, Lubricants, Oils, and Grease, Paint, Primers, and Finishes, and more.",https://www.afadvantage.gov/advantage/main/start_page.do?store=AIRFORCE,Varies by vendor contract.,ESG.AFTAPP@wpafb.af.mil,None
Army CECOM Strategic Services Sourcing S3,4,,1,5,None,"Logistics services
Engineering services
Business operations support services",http://www.army.mil/info/organization/cecom/,3/6/2016,"Robert DiMichele, Chief Public Affairs& Communications Media
US. Army Communications-Electronics Command
robert.e.dimichele.civ@mail.mil, ARMY
443-861-6757 

Cynthia Jackson, CECOM Competition Advocate 443 861 5256
cynthia.a.jackson64.civ@mail.mil

Patrick Morse, (732) 532-8381","$3,000 for Supplies
$2,500 for Services
$2,000 for Construction 
"
Army First - Field and Installation Readiness Support Team (FIRST),4,"FIRST is an Enterprise Solution to provide innovative and responsive logistics support to meet the evolving mission needs of the war fighter. The Scope of Work provides Task Areas that define functional and programmatic services that may be required by Headquarters Army Material Command (AMC); Headquarters, Forces Command (HQ FORSCOM); Headquarters Installation Management Command (IMCOM) (Logistics); Headquarters, U.S. Army Reserve Command (HQ USARC); Headquarters, Third Army U.S. Army Central Command (ARCENT), Headquarters, U.S. First Army, and all other Army or Department of Defense (DOD) Agencies, authorized to place orders against FIRST contracts. Services may be required in Continental United States (CONUS) or outside the Continental United States (OCONUS) locations. Specific requirements and standards of performance will be provided in each task order. FIRST was solicited and awarded as a result of two separate solicitations: one that was a Total set-aside for small business and the other as a full and open competition.",1,5,None,"Logistics Program Management and Operations
Logistics Quality Assurance Support 
Logistics Information/Technology Support 
Logistics Training Support
Logistics Army Transformation Logistics Support
Logistics Program Support
Logistics Transportation/Supply Support 
Logistics Parts Support
(S) Logistics/Maintenance
(U) Logistics/Maintenance 
Comprehensive Support for Centrally Managed Programs
Command Wide Logistics Enterprise System Support",http://www.bragg.army.mil/units/micc/Pages/FIRST.aspx,7/6/2026,"Ronnell Booker, PCO
404-464-2063 / DSN 367-2063
ronnell.booker@us.army.mil

Karen D. Thomas, Admin
404-464-1708 / DSN 367-1708
karen.d.thomas@us.army.mil","$100,000"
Army Logistics Civil Augmentation Program (LOGCAP IV),4,,1,5,None,"Deliberate planning
Preparation of the Worldwide Management and Staffing Plan (WMSP)
Contingency event support, training and exercise participation
Technical support including cost analysis and pre-award task order proposal review",http://www.aschq.army.mil/home/default.aspx,6/24/20117,"Brandon Kettler, kettlerb@afsc.army.mil, 782-6420
Executive Director (309) 782 0929
Deputy Executive Director (309) 782-7853
Director, Policy & Programs (309) 782-8552
Director, Operations & Plans (309) 782-8415
Director, Quality Assurance (309) 782-0688","$613,677"
CHESS: Computer Hardware Enterprise Software & Solutions,4,"The Primary Source to support the Warfighter's information dominance objectives by developing, implementing and managing commercial Information Technology contracts that provide enterprise-wide net-centric hardware, software and support services for the Army.",1,5,None,"Information Technology Enterprise Solutions (ITES-2H) - provides IT hardware solutions and services. Army Desktop and Mobile Computing (ADMC-2) - utilized for consolidated hardware commodity buys. Multifunctional Devices (MFD) - includes devices with printing, scanning, copying and/or faxing capabilities.",https://chess.army.mil/Account/LogOn?returnUrl=https://chess.army.mil/RFQ,ADMC-2 4/23/2016 ITES-2H 6/23/2015 MFD 10/31/2016,,
"Client, Computing & Servers",3,,7,9,GSA Fee is rolled into item costs,Product based with incidental services,https://www.afway.af.mil/,6/30/2015,,
Commodity Enterprise Contract,5,,1,94,None,"CEC ensures standardization and interoperability of commercial information technology (IT) hardware and associated installation, configuration, warranty, maintenance, and technical support services solutions across the VA Enterprise. Further, VA seeks to take advantage of technological advances and new business practices that promise to increase productivity and/or reduce costs. The IT hardware commodities available under CEC are as follows: end user devices (e.g., laptops and thin clients), mobile tablets, servers, networking appliances (i.e., switches and routers), storage arrays/storage appliances, and security platforms. Additionally, the following types of services are also available: installation, warranty support, and incidental technical support services such as site surveys, custom installation, training, and application support.",Contact TAC,3/1/2018,,
Connections II,6,"Connections II provides telecommunications in a building or campus, while GWACs provide a broad spectrum of IT solutions",1,5,1.5% Associated Government Fee (AGF) capped at $150K per year per order (applies to orders in excess of $10M per year),"Network and telecom equipment, labor, building, and campus infrastructure solution needs, including: Infrastructure design, installation, and implementation; Professional services to support existing networks; Professional services to support existing networks; Transition planning and integration services; Customized client-specific systems",http://www.gsa.gov/portal/content/113287,Base Period 1/19/2015 Option Periods Six 1-year option periods,,
